Seed: 1543253954
1 Tree Mutation GA Run, Best Fitness, Generations, Time
0, 71, 198, 0
1, 166, 92, 0
2, 173, 75, 0
3, 125, 111, 0
4, 117, 151, 0
5, 111, 144, 0
6, 109, 144, 0
7, 180, 109, 0
8, 193, 51, 0
9, 113, 212, 0
10, 133, 147, 0
11, 134, 100, 0
12, 151, 103, 0
13, 86, 149, 0
14, 107, 132, 0
15, 88, 216, 0
16, 170, 114, 0
17, 88, 235, 0
18, 121, 212, 0
19, 108, 139, 0
20, 134, 134, 0
21, 96, 206, 0
22, 233, 74, 0
23, 144, 108, 0
24, 166, 98, 0
25, 151, 86, 0
26, 97, 205, 0
27, 272, 47, 0
28, 143, 76, 0
29, 135, 115, 0

3 Tree Mutation GA Run, Best Fitness, Generations, Time
0, 179, 76, 0
1, 134, 121, 0
2, 72, 168, 1
3, 86, 132, 0
4, 188, 63, 0
5, 128, 120, 0
6, 96, 135, 0
7, 91, 111, 0
8, 132, 80, 0
9, 92, 145, 0
10, 100, 114, 0
11, 108, 134, 0
12, 222, 54, 0
13, 116, 137, 0
14, 250, 66, 0
15, 94, 160, 0
16, 107, 189, 0
17, 111, 98, 0
18, 108, 165, 0
19, 102, 121, 0
20, 167, 122, 0
21, 96, 133, 0
22, 114, 149, 0
23, 200, 63, 0
24, 102, 175, 0
25, 104, 118, 0
26, 105, 173, 0
27, 173, 89, 0
28, 119, 131, 0
29, 161, 105, 0

5 Tree Mutation GA Run, Best Fitness, Generations, Time
0, 219, 48, 0
1, 122, 144, 0
2, 136, 107, 0
3, 103, 149, 0
4, 138, 109, 0
5, 102, 105, 0
6, 222, 54, 0
7, 186, 50, 0
8, 167, 86, 0
9, 80, 182, 0
10, 133, 104, 0
11, 153, 80, 0
12, 149, 64, 0
13, 95, 117, 0
14, 114, 149, 0
15, 145, 116, 0
16, 147, 104, 0
17, 167, 128, 0
18, 136, 101, 0
19, 105, 135, 0
20, 91, 184, 0
21, 111, 169, 0
22, 90, 155, 0
23, 158, 112, 0
24, 215, 113, 0
25, 94, 129, 0
26, 119, 178, 0
27, 150, 117, 0
28, 93, 186, 0
29, 101, 94, 0

1 Tree Crossover GA Run, Best Fitness, Generations, Time
0, 283, 39, 0
1, 360, 21, 0
2, 354, 24, 0
3, 316, 22, 0
4, 301, 34, 0
5, 325, 23, 0
6, 379, 22, 0
7, 310, 28, 0
8, 323, 64, 0
9, 362, 39, 0
10, 343, 22, 0
11, 293, 41, 0
12, 301, 22, 0
13, 306, 29, 0
14, 340, 21, 0
15, 319, 73, 0
16, 332, 44, 1
17, 319, 25, 0
18, 323, 59, 0
19, 312, 53, 0
20, 339, 25, 0
21, 334, 22, 0
22, 340, 48, 0
23, 330, 37, 0
24, 296, 44, 0
25, 339, 28, 0
26, 337, 20, 0
27, 335, 20, 0
28, 330, 32, 0
29, 370, 27, 0

3 Tree Crossover GA Run, Best Fitness, Generations, Time
0, 325, 28, 0
1, 365, 21, 0
2, 360, 28, 0
3, 375, 21, 0
4, 322, 37, 0
5, 338, 24, 0
6, 348, 37, 0
7, 319, 67, 0
8, 346, 47, 0
9, 338, 33, 0
10, 342, 37, 0
11, 262, 54, 0
12, 333, 28, 0
13, 339, 35, 0
14, 371, 26, 0
15, 329, 24, 0
16, 338, 53, 0
17, 368, 21, 0
18, 359, 57, 0
19, 314, 52, 0
20, 326, 22, 0
21, 207, 31, 0
22, 334, 37, 0
23, 306, 56, 0
24, 371, 20, 0
25, 340, 27, 0
26, 342, 43, 0
27, 337, 37, 0
28, 323, 37, 0
29, 377, 21, 0

5 Tree Crossover GA Run, Best Fitness, Generations, Time
0, 317, 30, 1
1, 337, 43, 0
2, 297, 40, 0
3, 299, 24, 0
4, 329, 35, 0
5, 421, 20, 0
6, 315, 59, 0
7, 281, 31, 0
8, 314, 29, 0
9, 327, 65, 0
10, 370, 22, 0
11, 261, 56, 0
12, 330, 22, 0
13, 309, 24, 0
14, 346, 22, 0
15, 323, 46, 0
16, 302, 21, 0
17, 383, 23, 0
18, 346, 37, 0
19, 357, 45, 0
20, 322, 28, 0
21, 325, 53, 0
22, 341, 22, 0
23, 353, 38, 0
24, 358, 21, 0
25, 277, 28, 0
26, 313, 33, 0
27, 265, 48, 0
28, 298, 26, 0
29, 348, 66, 0

