Seed: 1540530388
1 Mutation GA Run, Best Fitness, Generations, Time
0, 824, 180, 7
1, 655, 214, 8
2, 657, 236, 9
3, 789, 171, 6
4, 783, 209, 8
5, 720, 212, 8
6, 656, 257, 10
7, 722, 207, 8
8, 731, 221, 9
9, 617, 299, 11
10, 567, 293, 12
11, 800, 185, 7
12, 594, 241, 9
13, 552, 364, 15
14, 636, 227, 9
15, 818, 156, 6
16, 839, 190, 7
17, 644, 287, 11
18, 742, 199, 8
19, 575, 281, 11
20, 620, 311, 13
21, 591, 259, 10
22, 995, 123, 5
23, 547, 306, 12
24, 885, 171, 7
25, 601, 254, 10
26, 689, 241, 10
27, 625, 245, 10
28, 541, 358, 19
29, 707, 243, 10

2 Mutation GA Run, Best Fitness, Generations, Time
0, 931, 155, 8
1, 699, 201, 8
2, 698, 249, 10
3, 724, 213, 9
4, 642, 257, 10
5, 643, 294, 12
6, 637, 227, 9
7, 701, 184, 7
8, 700, 219, 10
9, 568, 271, 11
10, 778, 201, 8
11, 643, 256, 10
12, 574, 240, 10
13, 857, 165, 6
14, 691, 247, 11
15, 674, 277, 11
16, 781, 188, 7
17, 597, 234, 9
18, 630, 262, 11
19, 600, 287, 11
20, 531, 333, 13
21, 725, 195, 8
22, 582, 305, 13
23, 555, 277, 11
24, 789, 190, 8
25, 794, 198, 8
26, 563, 279, 11
27, 713, 220, 9
28, 703, 228, 9
29, 770, 211, 9

3 Mutation GA Run, Best Fitness, Generations, Time
0, 1205, 97, 6
1, 575, 295, 12
2, 826, 188, 8
3, 628, 304, 12
4, 903, 127, 5
5, 768, 221, 8
6, 668, 250, 10
7, 510, 315, 13
8, 705, 203, 8
9, 564, 323, 14
10, 518, 343, 14
11, 795, 198, 8
12, 710, 209, 9
13, 648, 264, 11
14, 757, 241, 10
15, 655, 239, 9
16, 498, 322, 13
17, 514, 321, 13
18, 660, 184, 8
19, 478, 391, 15
20, 661, 257, 10
21, 789, 172, 6
22, 606, 353, 14
23, 811, 177, 7
24, 768, 224, 9
25, 840, 170, 6
26, 634, 255, 9
27, 598, 299, 11
28, 726, 221, 9
29, 755, 223, 9

4 Mutation GA Run, Best Fitness, Generations, Time
0, 1247, 98, 6
1, 671, 256, 11
2, 631, 219, 8
3, 647, 235, 9
4, 720, 211, 9
5, 469, 347, 13
6, 580, 307, 12
7, 816, 213, 9
8, 568, 277, 10
9, 796, 189, 8
10, 805, 165, 7
11, 672, 232, 9
12, 817, 165, 6
13, 654, 257, 10
14, 657, 268, 11
15, 688, 249, 10
16, 621, 274, 10
17, 646, 258, 10
18, 718, 202, 8
19, 737, 209, 8
20, 623, 274, 10
21, 715, 232, 9
22, 863, 154, 6
23, 742, 187, 7
24, 573, 318, 12
25, 590, 271, 10
26, 781, 178, 7
27, 669, 247, 10
28, 693, 255, 10
29, 689, 226, 9

5 Mutation GA Run, Best Fitness, Generations, Time
0, 1327, 99, 7
1, 663, 224, 8
2, 552, 293, 12
3, 641, 258, 10
4, 592, 258, 10
5, 704, 190, 7
6, 527, 357, 14
7, 702, 218, 9
8, 744, 186, 7
9, 1097, 115, 5
10, 661, 219, 8
11, 655, 256, 10
12, 746, 225, 9
13, 802, 160, 7
14, 590, 287, 11
15, 615, 224, 9
16, 522, 302, 11
17, 720, 206, 7
18, 560, 341, 15
19, 700, 213, 8
20, 624, 202, 8
21, 492, 342, 13
22, 577, 297, 12
23, 737, 190, 7
24, 511, 297, 12
25, 506, 382, 15
26, 590, 293, 11
27, 632, 289, 11
28, 811, 182, 7
29, 723, 229, 9

0 crossover GA Run, Best Fitness, Generations, Time
0, 2118, 15, 10
1, 2068, 11, 8
2, 2087, 14, 10
3, 2033, 13, 10
4, 2097, 11, 8
5, 2135, 12, 10
6, 2114, 12, 9
7, 2132, 11, 8
8, 2160, 11, 9
9, 2119, 12, 9
10, 2114, 13, 9
11, 2171, 11, 8
12, 1976, 16, 12
13, 2152, 11, 8
14, 2057, 11, 8
15, 2023, 12, 9
16, 2111, 11, 8
17, 2000, 11, 8
18, 2166, 11, 8
19, 2010, 13, 9
20, 1990, 12, 9
21, 2102, 11, 8
22, 1972, 12, 8
23, 2079, 11, 8
24, 2209, 13, 10
25, 1991, 12, 8
26, 2145, 12, 9
27, 2141, 11, 9
28, 2019, 11, 8
29, 2063, 14, 10

1 crossover GA Run, Best Fitness, Generations, Time
0, 2067, 12, 9
1, 2000, 13, 9
2, 2120, 11, 9
3, 2110, 12, 8
4, 2136, 12, 9
5, 2044, 12, 9
6, 2087, 15, 11
7, 2199, 11, 8
8, 2155, 11, 8
9, 2105, 12, 8
10, 1936, 13, 10
11, 2146, 12, 9
12, 2068, 12, 8
13, 2135, 11, 9
14, 2074, 12, 9
15, 2088, 12, 8
16, 2072, 12, 9
17, 2184, 11, 8
18, 2126, 14, 10
19, 2117, 14, 11
20, 2092, 12, 8
21, 1985, 11, 8
22, 2129, 11, 8
23, 2064, 12, 9
24, 2130, 11, 8
25, 2136, 12, 9
26, 2176, 11, 8
27, 2206, 12, 8
28, 2146, 11, 8
29, 2020, 11, 8

2 crossover GA Run, Best Fitness, Generations, Time
0, 2182, 11, 8
1, 2122, 11, 8
2, 2129, 11, 8
3, 2147, 11, 8
4, 2099, 12, 8
5, 2196, 11, 8
6, 2113, 11, 8
7, 2093, 11, 8
8, 2114, 11, 7
9, 2164, 11, 8
10, 2180, 11, 8
11, 2156, 13, 9
12, 2161, 12, 9
13, 2128, 12, 8
14, 2097, 12, 9
15, 2156, 11, 9
16, 2192, 11, 8
17, 2099, 11, 7
18, 1950, 11, 9
19, 2127, 12, 8
20, 2067, 11, 8
21, 2146, 12, 8
22, 2103, 12, 9
23, 2137, 12, 9
24, 2195, 11, 8
25, 2144, 12, 8
26, 2047, 11, 8
27, 2068, 11, 8
28, 2158, 11, 8
29, 2106, 12, 9

3 crossover GA Run, Best Fitness, Generations, Time
0, 649, 281, 192
1, 751, 144, 97
2, 685, 174, 121
3, 624, 221, 157
4, 587, 276, 196
5, 624, 177, 125
6, 590, 238, 168
7, 723, 173, 122
8, 623, 189, 134
9, 558, 232, 164
10, 557, 261, 185
11, 595, 196, 142
12, 811, 145, 103
13, 547, 288, 199
14, 591, 216, 145
15, 659, 206, 146
16, 635, 217, 153
17, 592, 305, 214
18, 655, 164, 117
19, 591, 272, 192
20, 611, 235, 166
21, 639, 187, 132
22, 663, 251, 177
23, 553, 210, 147
24, 715, 205, 144
25, 588, 265, 186
26, 524, 278, 197
27, 655, 206, 145
28, 623, 223, 157
29, 516, 286, 201

Best Overall (greedy): 122 | Average Best: 122.067 | Valid trees found: 30 | Runs: 30 | Time: 6
