
Base graph vertices:
Vertex 0: ( 1, 45) ( 2, 32) ( 3, 40) ( 4, 7) ( 5, 3) ( 6, 10) ( 7, 46) ( 8, 5) ( 9, 50) ( 10, 5) ( 11, 9) ( 12, 10) ( 13, 26) ( 14, 6) ( 15, 11) ( 16, 31) ( 17, 7) ( 18, 24) ( 19, 32) ( 20, 3) ( 21, 22) ( 22, 41) ( 23, 5) ( 24, 27) ( 25, 47) ( 26, 30) ( 27, 44) ( 28, 4) ( 29, 47) ( 30, 10) ( 31, 48) ( 32, 10) ( 33, 21) ( 34, 21) ( 35, 6) ( 36, 19) ( 37, 26) ( 38, 40) ( 39, 32) ( 40, 39) ( 41, 18) ( 42, 25) ( 43, 43) ( 44, 18) ( 45, 20) ( 46, 37) ( 47, 41) ( 48, 37) ( 49, 15) ( 50, 6) ( 51, 17) ( 52, 48) ( 53, 41) ( 54, 50) ( 55, 39) ( 56, 21) ( 57, 1) ( 58, 49) ( 59, 34) ( 60, 35) ( 61, 34) ( 62, 27) ( 63, 1) ( 64, 48) ( 65, 2) ( 66, 18) ( 67, 17) ( 68, 23) ( 69, 16) ( 70, 44) ( 71, 9) ( 72, 42) ( 73, 12) ( 74, 47) ( 75, 35) ( 76, 19) ( 77, 32) ( 78, 14) ( 79, 6) ( 80, 47) ( 81, 17) ( 82, 3) ( 83, 26) ( 84, 19) ( 85, 15) ( 86, 3) ( 87, 35) ( 88, 5) ( 89, 41) ( 90, 5) ( 91, 28) ( 92, 47) ( 93, 17) ( 94, 39) ( 95, 22) ( 96, 40) ( 97, 35) ( 98, 47) ( 99, 43) 
Vertex 1: ( 0, 45) ( 2, 11) ( 3, 17) ( 4, 16) ( 5, 38) ( 6, 30) ( 7, 30) ( 8, 21) ( 9, 31) ( 10, 38) ( 11, 23) ( 12, 11) ( 13, 15) ( 14, 8) ( 15, 49) ( 16, 45) ( 17, 34) ( 18, 3) ( 19, 26) ( 20, 17) ( 21, 27) ( 22, 34) ( 23, 37) ( 24, 13) ( 25, 5) ( 26, 48) ( 27, 2) ( 28, 12) ( 29, 14) ( 30, 37) ( 31, 48) ( 32, 40) ( 33, 25) ( 34, 30) ( 35, 28) ( 36, 15) ( 37, 13) ( 38, 22) ( 39, 33) ( 40, 12) ( 41, 9) ( 42, 12) ( 43, 48) ( 44, 8) ( 45, 32) ( 46, 37) ( 47, 13) ( 48, 9) ( 49, 1) ( 50, 45) ( 51, 49) ( 52, 46) ( 53, 37) ( 54, 15) ( 55, 40) ( 56, 17) ( 57, 15) ( 58, 31) ( 59, 10) ( 60, 31) ( 61, 46) ( 62, 29) ( 63, 14) ( 64, 4) ( 65, 42) ( 66, 39) ( 67, 2) ( 68, 33) ( 69, 33) ( 70, 14) ( 71, 5) ( 72, 49) ( 73, 36) ( 74, 15) ( 75, 5) ( 76, 12) ( 77, 23) ( 78, 29) ( 79, 20) ( 80, 37) ( 81, 4) ( 82, 13) ( 83, 34) ( 84, 39) ( 85, 7) ( 86, 33) ( 87, 39) ( 88, 18) ( 89, 25) ( 90, 38) ( 91, 20) ( 92, 14) ( 93, 31) ( 94, 45) ( 95, 47) ( 96, 15) ( 97, 44) ( 98, 33) ( 99, 40) 
Vertex 2: ( 0, 32) ( 1, 11) ( 3, 47) ( 4, 16) ( 5, 29) ( 6, 47) ( 7, 14) ( 8, 50) ( 9, 11) ( 10, 24) ( 11, 47) ( 12, 24) ( 13, 36) ( 14, 23) ( 15, 20) ( 16, 31) ( 17, 34) ( 18, 32) ( 19, 44) ( 20, 48) ( 21, 25) ( 22, 23) ( 23, 26) ( 24, 41) ( 25, 8) ( 26, 40) ( 27, 41) ( 28, 30) ( 29, 42) ( 30, 28) ( 31, 49) ( 32, 31) ( 33, 1) ( 34, 19) ( 35, 11) ( 36, 50) ( 37, 43) ( 38, 16) ( 39, 18) ( 40, 39) ( 41, 25) ( 42, 29) ( 43, 2) ( 44, 22) ( 45, 49) ( 46, 24) ( 47, 17) ( 48, 48) ( 49, 39) ( 50, 16) ( 51, 26) ( 52, 25) ( 53, 24) ( 54, 40) ( 55, 38) ( 56, 37) ( 57, 46) ( 58, 43) ( 59, 45) ( 60, 24) ( 61, 47) ( 62, 26) ( 63, 45) ( 64, 7) ( 65, 23) ( 66, 13) ( 67, 50) ( 68, 28) ( 69, 7) ( 70, 4) ( 71, 37) ( 72, 13) ( 73, 37) ( 74, 34) ( 75, 50) ( 76, 45) ( 77, 14) ( 78, 2) ( 79, 16) ( 80, 28) ( 81, 3) ( 82, 10) ( 83, 49) ( 84, 40) ( 85, 1) ( 86, 36) ( 87, 12) ( 88, 22) ( 89, 44) ( 90, 41) ( 91, 4) ( 92, 16) ( 93, 29) ( 94, 27) ( 95, 9) ( 96, 29) ( 97, 48) ( 98, 6) ( 99, 16) 
Vertex 3: ( 0, 40) ( 1, 17) ( 2, 47) ( 4, 8) ( 5, 28) ( 6, 40) ( 7, 33) ( 8, 49) ( 9, 50) ( 10, 22) ( 11, 45) ( 12, 19) ( 13, 8) ( 14, 46) ( 15, 41) ( 16, 15) ( 17, 41) ( 18, 9) ( 19, 24) ( 20, 47) ( 21, 19) ( 22, 49) ( 23, 24) ( 24, 30) ( 25, 49) ( 26, 29) ( 27, 48) ( 28, 46) ( 29, 32) ( 30, 44) ( 31, 31) ( 32, 11) ( 33, 4) ( 34, 11) ( 35, 30) ( 36, 40) ( 37, 41) ( 38, 39) ( 39, 28) ( 40, 17) ( 41, 11) ( 42, 48) ( 43, 25) ( 44, 11) ( 45, 43) ( 46, 40) ( 47, 44) ( 48, 21) ( 49, 40) ( 50, 23) ( 51, 13) ( 52, 20) ( 53, 48) ( 54, 27) ( 55, 1) ( 56, 9) ( 57, 37) ( 58, 28) ( 59, 19) ( 60, 20) ( 61, 39) ( 62, 18) ( 63, 45) ( 64, 13) ( 65, 27) ( 66, 3) ( 67, 46) ( 68, 7) ( 69, 1) ( 70, 3) ( 71, 16) ( 72, 15) ( 73, 3) ( 74, 13) ( 75, 40) ( 76, 38) ( 77, 7) ( 78, 31) ( 79, 13) ( 80, 25) ( 81, 45) ( 82, 27) ( 83, 45) ( 84, 34) ( 85, 29) ( 86, 34) ( 87, 12) ( 88, 14) ( 89, 37) ( 90, 20) ( 91, 15) ( 92, 50) ( 93, 24) ( 94, 31) ( 95, 38) ( 96, 20) ( 97, 36) ( 98, 32) ( 99, 31) 
Vertex 4: ( 0, 7) ( 1, 16) ( 2, 16) ( 3, 8) ( 5, 47) ( 6, 6) ( 7, 19) ( 8, 37) ( 9, 34) ( 10, 3) ( 11, 50) ( 12, 28) ( 13, 22) ( 14, 8) ( 15, 44) ( 16, 33) ( 17, 17) ( 18, 27) ( 19, 18) ( 20, 26) ( 21, 22) ( 22, 13) ( 23, 25) ( 24, 19) ( 25, 16) ( 26, 5) ( 27, 34) ( 28, 25) ( 29, 49) ( 30, 20) ( 31, 49) ( 32, 46) ( 33, 1) ( 34, 33) ( 35, 31) ( 36, 1) ( 37, 32) ( 38, 25) ( 39, 12) ( 40, 28) ( 41, 31) ( 42, 10) ( 43, 15) ( 44, 36) ( 45, 19) ( 46, 35) ( 47, 13) ( 48, 39) ( 49, 15) ( 50, 47) ( 51, 8) ( 52, 17) ( 53, 18) ( 54, 43) ( 55, 1) ( 56, 23) ( 57, 29) ( 58, 20) ( 59, 25) ( 60, 40) ( 61, 21) ( 62, 49) ( 63, 30) ( 64, 1) ( 65, 32) ( 66, 6) ( 67, 41) ( 68, 24) ( 69, 7) ( 70, 4) ( 71, 10) ( 72, 45) ( 73, 34) ( 74, 17) ( 75, 12) ( 76, 13) ( 77, 8) ( 78, 30) ( 79, 3) ( 80, 47) ( 81, 44) ( 82, 21) ( 83, 20) ( 84, 41) ( 85, 40) ( 86, 50) ( 87, 9) ( 88, 30) ( 89, 13) ( 90, 33) ( 91, 9) ( 92, 20) ( 93, 18) ( 94, 40) ( 95, 43) ( 96, 40) ( 97, 3) ( 98, 35) ( 99, 14) 
Vertex 5: ( 0, 3) ( 1, 38) ( 2, 29) ( 3, 28) ( 4, 47) ( 6, 48) ( 7, 18) ( 8, 12) ( 9, 28) ( 10, 39) ( 11, 25) ( 12, 4) ( 13, 23) ( 14, 27) ( 15, 37) ( 16, 41) ( 17, 7) ( 18, 24) ( 19, 50) ( 20, 24) ( 21, 3) ( 22, 21) ( 23, 12) ( 24, 40) ( 25, 5) ( 26, 42) ( 27, 18) ( 28, 21) ( 29, 16) ( 30, 2) ( 31, 47) ( 32, 14) ( 33, 34) ( 34, 7) ( 35, 12) ( 36, 23) ( 37, 17) ( 38, 37) ( 39, 12) ( 40, 43) ( 41, 12) ( 42, 33) ( 43, 39) ( 44, 10) ( 45, 5) ( 46, 5) ( 47, 38) ( 48, 43) ( 49, 9) ( 50, 16) ( 51, 46) ( 52, 21) ( 53, 3) ( 54, 28) ( 55, 42) ( 56, 26) ( 57, 26) ( 58, 11) ( 59, 48) ( 60, 37) ( 61, 19) ( 62, 8) ( 63, 19) ( 64, 30) ( 65, 15) ( 66, 18) ( 67, 7) ( 68, 12) ( 69, 25) ( 70, 4) ( 71, 13) ( 72, 12) ( 73, 7) ( 74, 25) ( 75, 46) ( 76, 45) ( 77, 31) ( 78, 13) ( 79, 49) ( 80, 18) ( 81, 9) ( 82, 5) ( 83, 2) ( 84, 35) ( 85, 13) ( 86, 34) ( 87, 11) ( 88, 12) ( 89, 50) ( 90, 21) ( 91, 6) ( 92, 34) ( 93, 35) ( 94, 8) ( 95, 14) ( 96, 25) ( 97, 39) ( 98, 35) ( 99, 24) 
Vertex 6: ( 0, 10) ( 1, 30) ( 2, 47) ( 3, 40) ( 4, 6) ( 5, 48) ( 7, 23) ( 8, 24) ( 9, 42) ( 10, 7) ( 11, 12) ( 12, 28) ( 13, 35) ( 14, 2) ( 15, 17) ( 16, 32) ( 17, 43) ( 18, 9) ( 19, 37) ( 20, 16) ( 21, 37) ( 22, 34) ( 23, 47) ( 24, 48) ( 25, 24) ( 26, 18) ( 27, 25) ( 28, 4) ( 29, 6) ( 30, 37) ( 31, 49) ( 32, 47) ( 33, 6) ( 34, 14) ( 35, 7) ( 36, 5) ( 37, 6) ( 38, 19) ( 39, 14) ( 40, 33) ( 41, 49) ( 42, 21) ( 43, 39) ( 44, 25) ( 45, 44) ( 46, 21) ( 47, 31) ( 48, 18) ( 49, 7) ( 50, 29) ( 51, 45) ( 52, 3) ( 53, 22) ( 54, 37) ( 55, 11) ( 56, 6) ( 57, 18) ( 58, 31) ( 59, 35) ( 60, 7) ( 61, 14) ( 62, 17) ( 63, 2) ( 64, 42) ( 65, 36) ( 66, 24) ( 67, 41) ( 68, 39) ( 69, 40) ( 70, 16) ( 71, 16) ( 72, 29) ( 73, 50) ( 74, 33) ( 75, 32) ( 76, 7) ( 77, 15) ( 78, 12) ( 79, 44) ( 80, 45) ( 81, 47) ( 82, 4) ( 83, 47) ( 84, 17) ( 85, 39) ( 86, 1) ( 87, 36) ( 88, 28) ( 89, 34) ( 90, 6) ( 91, 33) ( 92, 41) ( 93, 43) ( 94, 48) ( 95, 22) ( 96, 8) ( 97, 34) ( 98, 32) ( 99, 2) 
Vertex 7: ( 0, 46) ( 1, 30) ( 2, 14) ( 3, 33) ( 4, 19) ( 5, 18) ( 6, 23) ( 8, 29) ( 9, 14) ( 10, 29) ( 11, 4) ( 12, 14) ( 13, 37) ( 14, 40) ( 15, 3) ( 16, 11) ( 17, 32) ( 18, 44) ( 19, 42) ( 20, 30) ( 21, 8) ( 22, 49) ( 23, 18) ( 24, 36) ( 25, 46) ( 26, 41) ( 27, 24) ( 28, 34) ( 29, 20) ( 30, 50) ( 31, 2) ( 32, 15) ( 33, 5) ( 34, 28) ( 35, 14) ( 36, 7) ( 37, 30) ( 38, 32) ( 39, 35) ( 40, 44) ( 41, 4) ( 42, 4) ( 43, 7) ( 44, 8) ( 45, 50) ( 46, 48) ( 47, 23) ( 48, 33) ( 49, 22) ( 50, 21) ( 51, 27) ( 52, 34) ( 53, 26) ( 54, 37) ( 55, 26) ( 56, 50) ( 57, 18) ( 58, 7) ( 59, 20) ( 60, 5) ( 61, 44) ( 62, 11) ( 63, 17) ( 64, 15) ( 65, 17) ( 66, 30) ( 67, 37) ( 68, 34) ( 69, 43) ( 70, 2) ( 71, 31) ( 72, 9) ( 73, 1) ( 74, 26) ( 75, 30) ( 76, 38) ( 77, 13) ( 78, 25) ( 79, 38) ( 80, 35) ( 81, 49) ( 82, 15) ( 83, 4) ( 84, 11) ( 85, 28) ( 86, 3) ( 87, 14) ( 88, 9) ( 89, 30) ( 90, 35) ( 91, 38) ( 92, 48) ( 93, 18) ( 94, 17) ( 95, 23) ( 96, 44) ( 97, 17) ( 98, 11) ( 99, 12) 
Vertex 8: ( 0, 5) ( 1, 21) ( 2, 50) ( 3, 49) ( 4, 37) ( 5, 12) ( 6, 24) ( 7, 29) ( 9, 42) ( 10, 33) ( 11, 39) ( 12, 33) ( 13, 49) ( 14, 11) ( 15, 32) ( 16, 19) ( 17, 11) ( 18, 34) ( 19, 30) ( 20, 29) ( 21, 6) ( 22, 5) ( 23, 2) ( 24, 23) ( 25, 16) ( 26, 35) ( 27, 24) ( 28, 13) ( 29, 23) ( 30, 4) ( 31, 46) ( 32, 37) ( 33, 3) ( 34, 24) ( 35, 5) ( 36, 12) ( 37, 25) ( 38, 5) ( 39, 49) ( 40, 46) ( 41, 27) ( 42, 34) ( 43, 48) ( 44, 44) ( 45, 13) ( 46, 8) ( 47, 16) ( 48, 25) ( 49, 28) ( 50, 47) ( 51, 41) ( 52, 5) ( 53, 9) ( 54, 18) ( 55, 43) ( 56, 17) ( 57, 8) ( 58, 17) ( 59, 45) ( 60, 28) ( 61, 50) ( 62, 48) ( 63, 18) ( 64, 30) ( 65, 17) ( 66, 24) ( 67, 45) ( 68, 25) ( 69, 16) ( 70, 1) ( 71, 26) ( 72, 22) ( 73, 18) ( 74, 6) ( 75, 17) ( 76, 23) ( 77, 31) ( 78, 12) ( 79, 36) ( 80, 42) ( 81, 1) ( 82, 43) ( 83, 38) ( 84, 17) ( 85, 43) ( 86, 12) ( 87, 23) ( 88, 17) ( 89, 48) ( 90, 46) ( 91, 48) ( 92, 41) ( 93, 26) ( 94, 12) ( 95, 47) ( 96, 6) ( 97, 16) ( 98, 46) ( 99, 26) 
Vertex 9: ( 0, 50) ( 1, 31) ( 2, 11) ( 3, 50) ( 4, 34) ( 5, 28) ( 6, 42) ( 7, 14) ( 8, 42) ( 10, 35) ( 11, 48) ( 12, 1) ( 13, 24) ( 14, 32) ( 15, 2) ( 16, 43) ( 17, 36) ( 18, 39) ( 19, 9) ( 20, 11) ( 21, 39) ( 22, 3) ( 23, 7) ( 24, 22) ( 25, 6) ( 26, 4) ( 27, 27) ( 28, 29) ( 29, 8) ( 30, 40) ( 31, 32) ( 32, 38) ( 33, 35) ( 34, 22) ( 35, 43) ( 36, 36) ( 37, 28) ( 38, 26) ( 39, 41) ( 40, 17) ( 41, 46) ( 42, 17) ( 43, 2) ( 44, 43) ( 45, 46) ( 46, 37) ( 47, 45) ( 48, 23) ( 49, 1) ( 50, 32) ( 51, 34) ( 52, 25) ( 53, 11) ( 54, 32) ( 55, 45) ( 56, 35) ( 57, 31) ( 58, 12) ( 59, 29) ( 60, 25) ( 61, 40) ( 62, 15) ( 63, 46) ( 64, 15) ( 65, 41) ( 66, 49) ( 67, 13) ( 68, 21) ( 69, 17) ( 70, 46) ( 71, 23) ( 72, 13) ( 73, 15) ( 74, 38) ( 75, 32) ( 76, 1) ( 77, 19) ( 78, 27) ( 79, 42) ( 80, 22) ( 81, 41) ( 82, 17) ( 83, 35) ( 84, 21) ( 85, 2) ( 86, 44) ( 87, 47) ( 88, 35) ( 89, 5) ( 90, 30) ( 91, 43) ( 92, 7) ( 93, 7) ( 94, 39) ( 95, 29) ( 96, 40) ( 97, 10) ( 98, 24) ( 99, 3) 
Vertex 10: ( 0, 5) ( 1, 38) ( 2, 24) ( 3, 22) ( 4, 3) ( 5, 39) ( 6, 7) ( 7, 29) ( 8, 33) ( 9, 35) ( 11, 18) ( 12, 16) ( 13, 23) ( 14, 40) ( 15, 44) ( 16, 34) ( 17, 7) ( 18, 41) ( 19, 46) ( 20, 34) ( 21, 32) ( 22, 14) ( 23, 47) ( 24, 43) ( 25, 33) ( 26, 37) ( 27, 17) ( 28, 37) ( 29, 30) ( 30, 20) ( 31, 2) ( 32, 35) ( 33, 34) ( 34, 12) ( 35, 43) ( 36, 40) ( 37, 3) ( 38, 50) ( 39, 14) ( 40, 2) ( 41, 40) ( 42, 44) ( 43, 27) ( 44, 34) ( 45, 7) ( 46, 31) ( 47, 14) ( 48, 23) ( 49, 39) ( 50, 5) ( 51, 32) ( 52, 18) ( 53, 33) ( 54, 11) ( 55, 22) ( 56, 9) ( 57, 25) ( 58, 42) ( 59, 44) ( 60, 44) ( 61, 50) ( 62, 18) ( 63, 4) ( 64, 37) ( 65, 13) ( 66, 3) ( 67, 40) ( 68, 19) ( 69, 7) ( 70, 26) ( 71, 35) ( 72, 14) ( 73, 47) ( 74, 45) ( 75, 13) ( 76, 33) ( 77, 28) ( 78, 15) ( 79, 47) ( 80, 40) ( 81, 5) ( 82, 3) ( 83, 13) ( 84, 26) ( 85, 13) ( 86, 48) ( 87, 36) ( 88, 15) ( 89, 16) ( 90, 32) ( 91, 5) ( 92, 33) ( 93, 41) ( 94, 23) ( 95, 4) ( 96, 10) ( 97, 41) ( 98, 28) ( 99, 15) 
